playlist_id,playlist_name,collection_date,playlist_type,track_position,track_name,track_uuid,collection_date_clean,artist_name,artist_id,label_name,label_type,track_date,track_genres,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,timeSignature,valence
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-10-06 00:00:00+00:00,Charts,1,Petit génie,5c0b0187-6e00-4499-b310-36e730252d13,2023-10-06 00:00:00+00:00,"['Abou Debeing', 'Alonzo', 'Imen Es', 'lossa', 'Jungeli']","['11e81bc3-36f8-dd20-b110-a0369fe50396', '11e83fee-fd00-6e80-a1d4-a0369fe50396', '0252beae-eefb-11e8-91de-549f35161576', '775296e7-8085-4940-a168-33dc9ddbb2fe', 'bfef8fd6-6151-47bc-93f1-588230bac575']","['2054 Records', 'Fulgu Prod', 'Next Génération']","['unknown', 'Other independent labels: ""Indie""', 'unknown']",2023-08-04T00:00:00+00:00,['hip-hop & rap'],0.13,0.8,0.58,0.0,1.0,0.22,-5.93,0.0,0.24,126.05,4.0,0.97
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-10-06 00:00:00+00:00,Charts,2,LAISSE MOI,065bda79-ba47-41cb-b44f-487741dc2ab9,2023-10-06 00:00:00+00:00,['KeBlack'],['11e81bc8-7bb4-47b0-ac67-a0369fe50396'],['Dayeden'],['unknown'],2023-09-08T00:00:00+00:00,['hip-hop & rap'],0.46,0.77,0.72,0.0,10.0,0.13,-7.88,0.0,0.35,120.03,4.0,0.7
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-10-06 00:00:00+00:00,Charts,3,Saiyan,f1928fd5-134e-444e-a66c-7b5541a9f23f,2023-10-06 00:00:00+00:00,"[""Heuss L'enfoiré"", 'Gazo']","['11e81bce-22bb-888e-9f62-a0369fe50396', '59a6ff7c-c650-11e8-9647-549f35141000']","['150 Prod', 'Straw Production']","['unknown', 'unknown']",2023-06-02T00:00:00+00:00,['hip-hop & rap'],0.36,0.78,0.81,0.0,7.0,0.21,-4.57,0.0,0.03,125.03,4.0,0.66
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-10-06 00:00:00+00:00,Charts,4,Casanova,be8682de-a811-4754-b310-9c816d3d6b56,2023-10-06 00:00:00+00:00,"['Soolking', 'Gazo']","['11e81bba-d00e-f2d2-a406-a0369fe50396', '59a6ff7c-c650-11e8-9647-549f35141000']",['Pandor Music'],['unknown'],2023-07-06T00:00:00+00:00,"['hip-hop & rap', 'r&b, funk & soul']",0.68,0.8,0.83,0.0,7.0,0.12,-4.58,0.0,0.21,132.04,4.0,0.76
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-10-06 00:00:00+00:00,Charts,5,Meridian,a899c70e-bcfd-42e3-80b7-0d0280c63c43,2023-10-06 00:00:00+00:00,"['Dave', 'Tiakola']","['11e81bc7-3e47-39ce-afd6-a0369fe50396', '34982a68-67ee-11e9-b1ad-549f35141000']","['Neighbourhood', 'Dave']","['Other independent labels: ""Indie""', 'Self released']",2023-08-24T00:00:00+00:00,['hip-hop & rap'],0.23,0.91,0.57,0.0,4.0,0.32,-5.95,0.0,0.1,115.03,4.0,0.59
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-10-06 00:00:00+00:00,Charts,6,Si No Estás,dcdf953d-d0b7-42f8-8dab-a30aaf19e066,2023-10-06 00:00:00+00:00,['iñigo quintero'],['4768fff2-bb58-437a-9c1d-be70a646dd0c'],['iñigo quintero'],['Self released'],2022-09-23T00:00:00+00:00,"['latin', 'pop', 'folk & traditional']",0.83,0.54,0.42,0.0,5.0,0.14,-8.72,1.0,0.03,98.22,4.0,0.52
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-10-06 00:00:00+00:00,Charts,7,Paint The Town Red,95f0a948-3105-4f0b-95f4-bd683b2ccfcf,2023-10-06 00:00:00+00:00,['Doja Cat'],['11e81bc3-7980-c950-afcb-a0369fe50396'],['Kemosabe'],['Sony'],2023-08-04T00:00:00+00:00,"['hip-hop & rap', 'pop']",0.27,0.87,0.54,0.0,5.0,0.09,-8.6,1.0,0.17,99.97,4.0,0.73
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-10-06 00:00:00+00:00,Charts,8,Bolide allemand,ac91625d-3ab4-457b-9d90-7a36e3507ac8,2023-10-06 00:00:00+00:00,['SDM'],['b207fd7c-c5a8-11e8-8a3f-549f35141000'],['Capitol'],['Universal'],2022-12-01T00:00:00+00:00,['hip-hop & rap'],0.43,0.71,0.66,0.0,4.0,0.11,-7.49,0.0,0.16,131.81,4.0,0.64
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-10-06 00:00:00+00:00,Charts,9,Strangers,612714b9-a161-4c1c-b4ef-aa21288a3a1c,2023-10-06 00:00:00+00:00,['Kenya Grace'],['09980c28-dfd7-11e9-bbf1-549f35141000'],['KGJ Music'],['unknown'],2023-09-01T00:00:00+00:00,['electronic'],0.7,0.63,0.52,0.0,11.0,0.22,-8.31,0.0,0.09,169.98,4.0,0.42
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-10-06 00:00:00+00:00,Charts,10,Meuda,62601437-cc7d-45d9-9a2a-23f6ff17909b,2023-10-06 00:00:00+00:00,['Tiakola'],['34982a68-67ee-11e9-b1ad-549f35141000'],['Wati-B'],"['Other independent labels: ""Indie""']",2022-05-27T00:00:00+00:00,['hip-hop & rap'],0.51,0.72,0.59,0.0,9.0,0.2,-6.5,1.0,0.08,141.9,4.0,0.62
