playlist_id,playlist_name,collection_date,playlist_type,track_position,track_name,track_uuid,collection_date_clean,artist_name,artist_id,label_name,label_type,track_date,track_genres,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,timeSignature,valence
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-10-07 00:00:00+00:00,Charts,1,DIE,0ec15f62-cb25-4377-a641-d74931272f3d,2022-10-07 00:00:00+00:00,['Gazo'],['59a6ff7c-c650-11e8-9647-549f35141000'],"['Epic', 'BSB Productions']","['Sony', 'Self released']",2022-07-01T00:00:00+00:00,['hip-hop & rap'],0.23,0.7,0.63,0.0,8.0,0.12,-7.16,0.0,0.04,130.97,4.0,0.55
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-10-07 00:00:00+00:00,Charts,2,Balader,ac2caabe-ee53-45e0-b70a-02ec68cf7b03,2022-10-07 00:00:00+00:00,"['Soolking', 'Niska']","['11e81bba-d00e-f2d2-a406-a0369fe50396', '11e81bcb-6ed3-6f64-a533-a0369fe50396']","['Hyper Focal', 'Affranchis']","['Other independent labels: ""Indie""', 'Other independent labels: ""Indie""']",2022-05-25T00:00:00+00:00,['hip-hop & rap'],0.32,0.77,0.78,0.0,4.0,0.12,-5.77,0.0,0.07,86.68,5.0,0.83
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-10-07 00:00:00+00:00,Charts,3,FADE UP,74e54b31-a373-4cc4-8cc9-0d52adc7ef97,2022-10-07 00:00:00+00:00,"['Hamza', 'SCH', 'Zeg P']","['11e81bbc-db5c-de54-b94b-a0369fe50396', '11e81bca-67e0-79a0-97f6-a0369fe50396', 'c29a11d8-9e48-48ff-82c9-d622563e407d']","['All Points', 'On Da Trax']","['Believe', 'Other independent labels: ""Indie""']",2022-06-24T00:00:00+00:00,['hip-hop & rap'],0.57,0.76,0.6,0.0,4.0,0.13,-5.99,0.0,0.09,129.96,4.0,0.56
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-10-07 00:00:00+00:00,Charts,4,I'm Good (Blue),0a882606-4f17-4f3b-bbb6-77e428a40126,2022-10-07 00:00:00+00:00,"['Bebe Rexha', 'David Guetta']","['11e81bbc-46f8-7e94-b612-a0369fe50396', '11e81bcd-65d5-4f2a-b59f-a0369fe50396']",['What A DJ'],['Self released'],2022-08-26T00:00:00+00:00,['electronic'],0.0,0.56,0.97,0.0,7.0,0.37,-3.67,0.0,0.03,128.04,4.0,0.3
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-10-07 00:00:00+00:00,Charts,5,TOUT VA BIEN (feat. Ninho & Naps),cdcad2f1-7c8b-438b-9bce-73dec455f384,2022-10-07 00:00:00+00:00,"['Ninho', 'Naps', 'Alonzo']","['11e81bc8-377c-8d64-923f-a0369fe50396', '11e81bd1-fe27-964e-8ace-a0369fe50396', '11e83fee-fd00-6e80-a1d4-a0369fe50396']","['Epic', '2054 Records', 'Only Pro']","['Sony', 'unknown', 'Other independent labels: ""Indie""']",2022-05-20T00:00:00+00:00,['hip-hop & rap'],0.3,0.66,0.72,0.0,3.0,0.23,-5.87,0.0,0.08,99.94,4.0,0.63
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-10-07 00:00:00+00:00,Charts,6,I Ain't Worried,0f11fc79-04ec-4ce2-952d-839c3e9f670c,2022-10-07 00:00:00+00:00,['OneRepublic'],['11e81bbe-04e9-df46-984f-a0369fe50396'],"['Interscope', 'Mosley']","['Universal', 'Other independent labels: ""Indie""']",2022-05-13T00:00:00+00:00,"['pop', 'soundtrack, stage & screen']",0.08,0.7,0.8,0.0,0.0,0.05,-5.93,1.0,0.05,139.99,4.0,0.83
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-10-07 00:00:00+00:00,Charts,7,PETETE,26f54324-06e9-442b-a360-290efb456e84,2022-10-07 00:00:00+00:00,['Gambi'],['11e81bc0-d8e6-d22a-aaed-a0369fe50396'],['Rec.118'],['Warner'],2022-07-29T00:00:00+00:00,"['hip-hop & rap', 'others']",0.17,0.75,0.67,0.0,10.0,0.08,-9.82,0.0,0.25,156.0,4.0,0.63
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-10-07 00:00:00+00:00,Charts,8,Mauvais ordre,f5299e42-9086-46d0-b1dc-a4ed295b4798,2022-10-07 00:00:00+00:00,['Lomepal'],['11e81bd2-5d97-650a-945c-a0369fe50396'],['Pinéale'],['Self released'],2022-09-15T00:00:00+00:00,['hip-hop & rap'],0.77,0.76,0.43,0.06,4.0,0.08,-9.96,0.0,0.06,143.99,4.0,0.43
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-10-07 00:00:00+00:00,Charts,9,Unholy (feat. Kim Petras),58f384dd-eedd-4b95-932d-42d3ff177795,2022-10-07 00:00:00+00:00,"['Kim Petras', 'Sam Smith']","['11e81bc8-b6fd-32c8-bb52-a0369fe50396', '11e81bc9-76a2-7f16-85ee-a0369fe50396']","['EMI', 'Capitol']","['Universal', 'Universal']",2022-09-22T00:00:00+00:00,['pop'],0.01,0.71,0.47,0.0,2.0,0.27,-7.38,1.0,0.09,131.12,4.0,0.24
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-10-07 00:00:00+00:00,Charts,10,Peur,783931b8-948c-4fa3-a7a6-261c7cdd67a3,2022-10-07 00:00:00+00:00,"['Ziak', 'Kerchak']","['e24acb8a-e409-41a1-bc16-ae65f9a38b9b', '1ba3e512-2293-4364-afa7-c70515e2a3a4']",['Kerchak'],['Self released'],2022-09-23T00:00:00+00:00,['hip-hop & rap'],0.2,0.72,0.84,0.0,11.0,0.03,-4.97,1.0,0.37,160.02,4.0,0.78
