playlist_id,playlist_name,collection_date,mean_track_date,playlist_type,nb_tracks,nb_clusters,nb_clusters_2,hh_index,hh_index_2,distances,distances_2,distances_3,stirling_index,stirling_index_2
11e84480-ad5c-55c4-a92d-a0369fe50396,#NUITVIE,2023-10-06 00:00:00+00:00,2017-06-04 03:12:20.794223872+00:00,Major label,277,4,9,2841.2985963586125,1221.8326838613825,0.41691725562701387,0.5412358045916645,0.7690867116589003,[[0.19670832]],[[0.25553558]]
11e84480-ad5c-55c4-a92d-a0369fe50396,#NUITVIE,2023-10-13 00:00:00+00:00,2017-06-04 03:12:20.794223872+00:00,Major label,277,2,9,5034.4719727873435,1221.8326838613825,0.2370850202087269,0.5412358045916645,0.7690867116589003,[[0.11772523]],[[0.25553558]]
11e84480-ad5c-55c4-a92d-a0369fe50396,#NUITVIE,2023-10-20 00:00:00+00:00,2017-06-04 03:12:20.794223872+00:00,Major label,277,4,9,2841.2985963586125,1221.8326838613825,0.41691725562701387,0.5412358045916645,0.7690867116589003,[[0.19670832]],[[0.25553558]]
11e84480-ad5c-55c4-a92d-a0369fe50396,#NUITVIE,2023-10-27 00:00:00+00:00,2017-06-04 03:12:20.794223872+00:00,Major label,277,4,9,2841.2985963586125,1221.8326838613825,0.41691725562701387,0.5412358045916645,0.7690867116589003,[[0.19670832]],[[0.25553558]]
11e84480-ad5c-55c4-a92d-a0369fe50396,#NUITVIE,2023-11-03 00:00:00+00:00,2017-06-04 03:12:20.794223872+00:00,Major label,277,4,9,2841.2985963586125,1221.8326838613825,0.41691725562701387,0.5412358045916645,0.7690867116589003,[[0.19670832]],[[0.25553558]]
11e84480-ad5c-55c4-a92d-a0369fe50396,#NUITVIE,2023-11-10 00:00:00+00:00,2017-06-04 03:12:20.794223872+00:00,Major label,277,4,8,2841.2985963586125,1403.5110584003437,0.41691725562701387,0.5363750973603232,0.7690867116589003,[[0.19670832]],[[0.24855372]]
11e84480-ad5c-55c4-a92d-a0369fe50396,#NUITVIE,2023-11-17 00:00:00+00:00,2017-06-04 03:12:20.794223872+00:00,Major label,277,4,8,2841.2985963586125,1403.5110584003437,0.41691725562701387,0.5363750973603232,0.7690867116589003,[[0.19670832]],[[0.24855372]]
11e84480-ad5c-55c4-a92d-a0369fe50396,#NUITVIE,2023-11-24 00:00:00+00:00,2017-06-04 03:12:20.794223872+00:00,Major label,277,2,8,5034.4719727873435,1403.5110584003437,0.2370850202087269,0.5363750973603232,0.7690867116589003,[[0.11772523]],[[0.24855372]]
11e84480-ad5c-55c4-a92d-a0369fe50396,#NUITVIE,2023-12-01 00:00:00+00:00,2017-06-04 03:12:20.794223872+00:00,Major label,277,4,9,2841.2985963586125,1221.8326838613825,0.41691725562701387,0.5412358045916645,0.7690867116589003,[[0.19670832]],[[0.25553558]]
11e84480-ad5c-55c4-a92d-a0369fe50396,#NUITVIE,2023-12-08 00:00:00+00:00,2017-06-04 03:12:20.794223872+00:00,Major label,277,2,8,5034.4719727873435,1403.5110584003437,0.2370850202087269,0.5363750973603232,0.7690867116589003,[[0.11772523]],[[0.24855372]]
11e84480-ad5c-55c4-a92d-a0369fe50396,#NUITVIE,2023-12-15 00:00:00+00:00,2017-06-04 03:12:20.794223872+00:00,Major label,277,4,9,2841.2985963586125,1221.8326838613825,0.41691725562701387,0.5412358045916645,0.7690867116589003,[[0.19670832]],[[0.25553558]]
11e84480-ad5c-55c4-a92d-a0369fe50396,#NUITVIE,2023-12-22 00:00:00+00:00,2017-06-04 03:12:20.794223872+00:00,Major label,277,2,9,5034.4719727873435,1221.8326838613825,0.2370850202087269,0.5412358045916645,0.7690867116589003,[[0.11772523]],[[0.25553558]]
11e84480-ad5c-55c4-a92d-a0369fe50396,#NUITVIE,2023-12-29 00:00:00+00:00,2017-06-04 03:12:20.794223872+00:00,Major label,277,2,9,5034.4719727873435,1221.8326838613825,0.2370850202087269,0.5412358045916645,0.7690867116589003,[[0.11772523]],[[0.25553558]]
11e84480-ad5c-55c4-a92d-a0369fe50396,#NUITVIE,2024-01-05 00:00:00+00:00,2017-06-04 03:12:20.794223872+00:00,Major label,277,4,9,2841.2985963586125,1221.8326838613825,0.41691725562701387,0.5412358045916645,0.7690867116589003,[[0.19670832]],[[0.25553558]]
