playlist_id,playlist_name,collection_date,mean_track_date,playlist_type,nb_tracks,nb_clusters,nb_clusters_2,hh_index,hh_index_2,distances,distances_2,distances_3,stirling_index,stirling_index_2,playlist_followers
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-02-25,2021-06-19 13:26:24,Charts,50,2,10,5000.0,1280.0,0.29444385395862,0.758668188202228,0.884577787660277,[[0.14722193]],[[0.33444731]],787121
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-03-04,2021-06-26 08:09:36,Charts,50,3,6,4088.0,1896.0,0.500683449483862,0.646285962951675,0.873608240687911,[[0.21108376]],[[0.3006281]],787948
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-03-11,2021-08-24 01:55:12,Charts,50,2,9,5128.0,1360.0,0.305170983115898,0.730808466339626,0.91495178076068,[[0.1486793]],[[0.33543787]],788714
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-03-18,2021-07-01 17:45:36,Charts,50,3,6,3600.0,1808.0,0.469168335100882,0.639539325235809,0.89876429700418,[[0.22331763]],[[0.30734429]],789506
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-03-25,2021-07-26 06:14:24,Charts,50,3,8,3464.0,1448.0,0.461467870263882,0.720390951970369,0.924230958878146,[[0.22724612]],[[0.34118992]],790342
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-04-01,2021-06-21 00:00:00,Charts,50,2,10,5008.0,1256.0,0.3119297822637,0.764050794710075,0.919925003864979,[[0.15571535]],[[0.35116887]],791174
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-04-08,2021-06-20 23:30:36,Charts,49,3,7,3635.9850062474,1753.43606830487,0.477514076481826,0.719925778241866,0.949519053149679,[[0.22747928]],[[0.33859701]],791889
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-04-15,2021-06-15 08:38:24,Charts,50,2,6,5072.0,2000.0,0.298723542511453,0.653125794301745,0.918638165911634,[[0.14721096]],[[0.308115]],792746
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-04-22,2021-05-02 09:07:12,Charts,50,2,9,5072.0,1152.0,0.305358546422338,0.69916205531715,0.919205812088152,[[0.15048069]],[[0.34489731]],793410
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2022-04-29,2021-05-30 04:19:12,Charts,50,3,6,3464.0,1976.0,0.464416235838578,0.671242918782467,0.91361155585578,[[0.22650777]],[[0.31322751]],794030
